_id,BranchCode,PhysicalBranch,BranchName,Address,PostalCode,Website,Telephone,SquareFootage,PublicParking,KidsStop,LeadingReading,CLC,DIH,TeenCouncil,YouthHub,AdultLiteracyProgram,Workstations,ServiceTier,Lat,Long,NBHDNo,NBHDName,TPLNIA,WardNo,WardName,PresentSiteYear
56,JS,1,Jane/Sheppard,"1906 Sheppard Avenue West, Toronto, ON, M3L 1Y7",M3L 1Y7,https://www.tpl.ca/janesheppard,416-395-5966,7000,17,0,1,0,0,0,0,0,9,NL,43.73988,-79.51005,25,Glenfield-Jane Heights ,1,7,Humber River-Black Creek,1989
57,KE,1,Kennedy/Eglinton,"Liberty Square Plaza, 2380 Eglinton Avenue East, Toronto, ON, M1K 2P3",M1K 2P3,https://www.tpl.ca/kennedyeglinton,416-396-8924,6713,shared,0,1,0,0,1,1,0,14,NL,43.732159,-79.270496,125,Ionview ,1,21,Scarborough Centre,1988
58,LB,1,Long Branch,"3500 Lake Shore Boulevard West, Toronto, ON, M8W 1N6",M8W 1N6,https://www.tpl.ca/longbranch,416-394-5320,6418,11,0,0,0,0,0,0,0,11,NL,43.595263,-79.531504,19,Long Branch,0,3,Etobicoke-Lakeshore,1955
59,LD,0,Literacy Deposits,,,,,  ,,,,,,,,,,NL,,,,,,,,
60,LE,1,Leaside,"165 McRae Drive, Toronto, ON, M4G 1S8",M4G 1S8,https://www.tpl.ca/leaside,416-396-3835,12000,0,0,0,0,0,1,0,0,13,NL,43.706493,-79.367563,56,Leaside-Bennington ,0,15,Don Valley West,1950
61,LO,1,Locke,"3083 Yonge Street, Toronto, ON, M4N 2K7",M4N 2K7,https://www.tpl.ca/locke,416-393-7730,11647,10,0,0,0,0,0,0,0,12,NL,43.724878,-79.401815,103,Lawrence Park South,0,15,Don Valley West,1949
62,LS,1,Lillian H. Smith,"239 College Street, Toronto, ON, M5T 1R5",M5T 1R5,https://www.tpl.ca/lillianhsmith,416-393-7746,38935,0,0,1,1,0,1,0,0,34,DL,43.6581,-79.3984,78,Kensington-Chinatown ,0,11,University-Rosedale,1995
63,MA,1,Main Street,"137 Main Street, Toronto, ON, M4E 2V9",M4E 2V9,https://www.tpl.ca/mainstreet,416-393-7700,8664,8,0,0,0,0,0,0,0,9,NL,43.683359,-79.299578,62,East End-Danforth,0,19,Beaches-East York,1921
64,MAL,1,Malvern,"30 Sewells Road, Toronto, ON, M1B 3G5",M1B 3G5,https://www.tpl.ca/malvern,416-396-8969,25834,shared,0,1,1,0,1,1,1,38,DL,43.808315,-79.216067,146,Malvern East,0,25,Scarborough-Rouge Park,1982
65,MAS,1,Maria A. Shchuka,"1745 Eglinton Avenue W, Toronto, ON, M6E 2H4",M6E 2H4,https://www.tpl.ca/mariaashchuka,416-394-1000,25475,14,0,1,1,0,1,1,1,35,DL,43.69613,-79.447193,107,Oakwood-Vaughan,0,12,Toronto-St. Paul's,1951
66,MCG,1,McGregor Park,"2219 Lawrence Avenue East, Toronto, ON, M1P 2P5",M1P 2P5,https://www.tpl.ca/mcgregorpark,416-396-8935,7793,35,0,0,0,0,0,0,0,14,NL,43.747707,-79.280719,126,Dorset Park  ,0,21,Scarborough Centre,2004
67,MD,1,Mount Dennis,"1123 Weston Road, Toronto, ON, M6N 3S3",M6N 3S3,https://www.tpl.ca/mountdennis,416-394-1008,11350,19,1,1,0,0,1,1,0,20,NL,43.686581,-79.488259,115,Mount Dennis ,1,5,York South-Weston,1951
68,ME,0,Merril Collection,"239 College Street, 3rd floor, Toronto, ON, M5T 1R5",M5T 1R5,https://www.tpl.ca/merril,416-393-7748,  ,,,,,,,,,,RR,43.657222,-79.398333,,,,,,
69,MI,1,Mimico Centennial,"47 Station Road, Toronto, ON, M8V 2R1",M8V 2R1,https://www.tpl.ca/mimico,416-394-5330,17469,11,0,0,0,0,0,0,0,9,NL,43.614907,-79.493904,160,Mimico-Queensway,0,3,Etobicoke-Lakeshore,1915
70,MP,1,Mount Pleasant,"599 Mt. Pleasant Road, Toronto, ON, M4S 2M5",M4S 2M5,https://www.tpl.ca/mountpleasant,416-393-7737,5829,0,0,0,0,0,0,0,0,2,NL,43.7039,-79.388126,99,Mount Pleasant East  ,0,15,Don Valley West,1992
71,MRV,1,Maryvale,"Parkway Mall, 85 Ellesmere Road, Unit 22, Toronto, ON, M1R 4B9",M1R 4B9,https://www.tpl.ca/maryvale,416-396-8931,11746,shared,1,0,0,0,0,0,0,12,NL,43.757263,-79.311711,119,Wexford-Maryvale ,0,21,Scarborough Centre,1987
72,MS,1,Morningside,"4279 Lawrence Avenue East, Toronto, ON, M1E 2S8",M1E 2S8,https://www.tpl.ca/morningside,416-396-8881,7000,shared,0,0,0,0,0,0,0,10,NL,43.769885,-79.178541,136,West Hill ,1,25,Scarborough-Rouge Park,2006
73,ND,1,Northern District,"40 Orchard View Boulevard, Toronto, ON, M4R 1B9",M4R 1B9,https://www.tpl.ca/northerndistrict,416-393-7610,48645,0,0,0,1,0,1,0,0,27,DL,43.708241,-79.399874,100,Yonge-Eglinton,0,8,Eglinton-Lawrence,1984
74,NE,1,Northern Elms,"123B Rexdale Boulevard, Unit 5, Toronto, ON, M9W 1P1",M9W 1P1,https://www.tpl.ca/northernelms,416-394-5230,3936,shared,0,0,0,0,0,0,0,6,NL,43.71133,-79.565548,1,West Humber-Clairville,1,1,Etobicoke North,2005
75,NT,1,New Toronto,"110 Eleventh Street, Toronto, ON, M8V 3G5",M8V 3G5,https://www.tpl.ca/newtoronto,416-394-5350,9925,10,0,0,0,0,0,0,0,8,NL,43.599085,-79.509741,18,New Toronto  ,0,3,Etobicoke-Lakeshore,1994
76,OS,0,Osborne Collection,"239 College Street, 4th floor, Toronto, ON, M5T 1R5",M5T 1R5,https://www.tpl.ca/osborne,416-393-7753,  ,,,,,,,,,,RR,43.65785,-79.39864,,,,,,
77,OV,1,Oakwood Village Library and Arts Centre,"341 Oakwood Avenue, Toronto, ON, M6E 2W1",M6E 2W1,https://www.tpl.ca/oakwood,416-394-1040,17270,0,0,0,0,0,0,0,0,11,NL,43.686544,-79.438111,107,Oakwood-Vaughan ,0,12,Toronto-St. Paul's,1997
78,PA,1,Pape/Danforth,"701 Pape Avenue, Toronto, ON, M4K 3S6",M4K 3S6,https://www.tpl.ca/papedanforth,416-393-7727,8175,0,0,0,0,0,0,0,0,14,DL,43.678559,-79.34457,69,Blake-Jones ,0,14,Toronto-Danforth,1929
79,PE,1,Perth/Dupont,"1589 Dupont Street, Toronto, ON, M6P 3S5",M6P 3S5,https://www.tpl.ca/perthdupont,416-393-7677,3627,0,0,0,0,0,0,0,0,3,NL,43.665033,-79.45383,171,Junction-Wallace Emerson,0,9,Davenport,1983
80,PK,1,Parkdale,"1303 Queen Street West, Toronto, ON, M6K 1L6",M6K 1L6,https://www.tpl.ca/parkdale,416-393-7686,24083,0,0,1,0,0,0,1,0,24,NL,43.641174,-79.432659,85,South Parkdale,1,4,Parkdale-High Park,1964
81,PL,1,Parliament Street,"269 Gerrard Street East, Toronto, ON, M5A 2G3",M5A 2G3,https://www.tpl.ca/parliament,416-393-7663,14634,0,0,1,0,0,0,1,0,12,NL,43.661804,-79.3678,73,Moss Park,1,13,Toronto Centre,1969
82,PM,1,Palmerston,"560 Palmerston Avenue, Toronto, ON, M6G 2P7",M6G 2P7,https://www.tpl.ca/palmerston,416-393-7680,8493,0,0,0,0,0,0,0,0,7,NL,43.665093,-79.414052,95,Annex,0,11,University-Rosedale,1971
83,PR,0,Automated Phone System,,,,,  ,,,,,,,,,,RA,,,,,,,,
84,PU,1,Port Union,"5450 Lawrence Avenue East, Toronto, ON, M1C 3B2",M1C 3B2,https://www.tpl.ca/portunion,416-396-8885,5000,shared,0,0,0,0,0,0,0,6,NL,43.779478,-79.140289,133,Centennial Scarborough ,0,25,Scarborough-Rouge Park,1984
85,PV,1,Pleasant View,"575 Van Horne Avenue, Toronto, ON, M2J 4S8",M2J 4S8,https://www.tpl.ca/pleasantview,416-395-5940,7000,26,0,0,0,0,0,0,0,8,NL,43.787559,-79.33543,46,Pleasant View,0,17,Don Valley North,1975
86,QS,1,Queen/Saulter,"765 Queen Street East, Toronto, ON, M4M 1H3",M4M 1H3,https://www.tpl.ca/queensaulter,416-393-7723,2957,0,0,0,0,0,0,0,0,6,NL,43.659144,-79.347593,70,South Riverdale,0,14,Toronto-Danforth,1980
87,RD,1,Riverdale,"370 Broadview Avenue, Toronto, ON, M4K 2M8",M4K 2M8,https://www.tpl.ca/riverdale,416-393-7720,9658,0,0,0,0,0,0,0,0,18,NL,43.665759,-79.353163,68,North Riverdale ,0,14,Toronto-Danforth,1928
88,RI,1,Richview,"1806 Islington Avenue, Toronto, ON, M9P 3N3",M9P 3N3,https://www.tpl.ca/richview,416-394-5120,47252,139,1,1,1,1,0,1,0,44,DL,43.683404,-79.541119,7,Willowridge-Martingrove-Richview,1,2,Etobicoke Centre,1966
89,RN,1,Runnymede,"2178 Bloor Street West, Toronto, ON, M6S 1M8",M6S 1M8,https://www.tpl.ca/runnymede,416-393-7697,12034,0,0,0,0,0,0,0,0,15,NL,43.651856,-79.473844,88,High Park North,0,4,Parkdale-High Park,1930
90,RX,1,Rexdale,"2243 Kipling Avenue, Toronto, ON, M9W 4L5",M9W 4L5,https://www.tpl.ca/rexdale,416-394-5200,5088,12,0,0,0,0,0,0,0,6,NL,43.72613,-79.573207,4,Rexdale-Kipling,1,1,Etobicoke North,1959
91,SA,1,Sanderson,"327 Bathurst Street, Toronto, ON, M5T 1J1",M5T 1J1,https://www.tpl.ca/sanderson,416-393-7653,12702,0,0,1,0,0,0,1,0,14,NL,43.652085,-79.405519,78,Kensington-Chinatown ,0,10,Spadina-Fort York,1979
92,SB,0,Sunnybrook Hospital,"2075 Bayview Avenue, Aging and Veterans Care, Kilgour Wing, Toronto, ON, M4N 3M5",M4N 3M5,https://www.tpl.ca/hospital-service,416-480-6100  EXT 62624,,,,,,,,,,,NL,,,,,,,,
93,SC,1,Scarborough Civic Centre,"156 Borough Drive, Toronto, ON, M1P 4N7",M1P 4N7,https://www.tpl.ca/scarborough,416-396-3599,14500,0,1,1,0,1,0,0,0,18,NL,43.772096,-79.256764,156,Bendale -Glen Andrew,1,21,Scarborough Centre,2015
94,SI,1,St. Clair/Silverthorn,"1748 St. Clair Avenue West, Toronto, ON, M6N 1J3",M6N 1J3,https://www.tpl.ca/stclairsilverthorn,416-393-7709,4850,0,0,0,0,0,0,0,0,5,NL,43.674263,-79.460585,91,Weston-Pellam Park,1,9,Davenport,1981
95,SJ,1,St. James Town,"495 Sherbourne Street, Toronto, ON, M4X 1K7",M4X 1K7,https://www.tpl.ca/stjamestown,416-393-7744,7800,0,0,1,0,0,0,0,0,19,NL,43.667263,-79.374467,74,North St. James Town ,0,13,Toronto Centre,2004
96,SL,1,St. Lawrence,"171 Front Street East, Toronto, ON, M5A 4H3",M5A 4H3,https://www.tpl.ca/stlawrence,416-393-7655,4833,0,0,0,0,0,0,0,0,7,NL,43.649981,-79.368496,166,St Lawrence-East Bayfront-The Islands,0,13,Toronto Centre,1982
97,SP,1,Spadina Road,"10 Spadina Road, Toronto, ON, M5R 2S7",M5R 2S7,https://www.tpl.ca/spadina,416-393-7666,3952,0,0,0,0,0,0,0,0,5,NL,43.667159,-79.404378,95,Annex,0,11,University-Rosedale,1977
98,ST,1,Steeles,"Bamburgh Gardens Shopping Plaza, C107-375 Bamburgh Circle, Toronto, ON, M1W 3Y1",M1W 3Y1,https://www.tpl.ca/steeles,416-396-8975,5453,shared,0,0,0,0,0,0,0,8,NL,43.815381,-79.322304,116,Steeles ,0,22,Scarborough-Agincourt,1987
99,SW,1,Swansea Memorial,"95 Lavinia Avenue, Toronto, ON, M6S 3H9",M6S 3H9,https://www.tpl.ca/swansea,416-393-7695,1127,shared,0,0,0,0,0,0,0,3,NL,43.64793,-79.478022,87,High Park-Swansea,0,4,Parkdale-High Park,1959
100,SWS,1,S. Walter Stewart,"170 Memorial Park Avenue, Toronto, ON, M4J 2K5",M4J 2K5,https://www.tpl.ca/swalterstewart,416-396-3975,25847,19,1,0,1,0,0,1,1,39,DL,43.692115,-79.329696,59,Danforth Village - East York,0,14,Toronto-Danforth,1960
101,TA,1,Taylor Memorial,"1440 Kingston Road, Toronto, ON, M1N 1R3",M1N 1R3,https://www.tpl.ca/taylor,416-396-8939,5000,4,0,0,0,0,0,0,0,8,NL,43.687781,-79.271252,122,Birchcliffe-Cliffside,0,20,Scarborough Southwest,1962
102,TH,1,Thorncliffe,"48 Thorncliffe Park Drive, Toronto, ON, M4H 1J7",M4H 1J7,https://www.tpl.ca/thorncliffe,416-396-3865,11034,shared,1,1,0,0,0,1,0,19,NL,43.702907,-79.342644,55,Thorncliffe Park ,1,15,Don Valley West,1970
103,TOD,1,Todmorden Room,"1081 1/2 Pape Ave (at Torrens), Toronto, ON, M4K 3W6",M4K 3W6,https://www.tpl.ca/todmorden,416-396-3875,554,shared,0,0,0,0,0,0,0,2,NL,43.691626,-79.349326,58,Old East York ,0,14,Toronto-Danforth,1961
104,TRL,1,Toronto Reference Library,"789 Yonge Street, Toronto, ON, M4W 2G8",M4W 2G8,https://www.tpl.ca/torontoreferencelibrary,416-395-5577,426535,0,0,0,1,1,1,0,0,213,RR,43.671737,-79.386763,98,Rosedale-Moore Park ,0,11,University-Rosedale,1977
105,VIR,0,Virtual Library,,,,,  ,,,,,,,,,,RA,,,,,,,,
106,VV,1,Victoria Village,"184 Sloane Avenue, Toronto, ON, M4A 2C4",M4A 2C4,https://www.tpl.ca/victoriavillage,416-395-5950,5383,29,0,0,0,0,0,0,0,6,NL,43.736011,-79.312911,43,Victoria Village ,1,16,Don Valley East,1967
107,WE,1,Weston,"2 King Street, Toronto, ON, M9N 1K9",M9N 1K9,https://www.tpl.ca/weston,416-394-1016,11944,9,0,1,0,0,0,1,0,11,NL,43.701796,-79.520585,113,Weston ,1,5,York South-Weston,1914
108,WP,1,Woodview Park,"16 Bradstock Road, Toronto, ON, M9M 1M8",M9M 1M8,https://www.tpl.ca/woodview,416-395-5960,4110,shared,0,0,0,0,1,0,0,9,NL,43.739722,-79.538941,22,Humbermede ,1,7,Humber River-Black Creek,1964
109,WS,1,Woodside Square,"Woodside Square Mall, 1571 Sandhurst Circle, Toronto, ON, M1V 1V2",M1V 1V2,https://www.tpl.ca/woodside,416-396-8979,9944,shared,0,1,0,0,1,0,0,22,NL,43.809463,-79.269548,129,Agincourt North,0,23,Scarborough North,1977
110,WY,1,Wychwood,"1431 Bathurst Street, Toronto, ON, M5R 3J2",M5R 3J2,https://www.tpl.ca/wychwood,416-393-7683,15798,0,0,0,0,0,0,0,0,11,NL,43.682181,-79.417548,96,Casa Loma ,0,12,Toronto-St. Paul's,1916
111,YO,1,Yorkville,"22 Yorkville Avenue, Toronto, ON, M4W 1L4",M4W 1L4,https://www.tpl.ca/yorkville,416-393-7660,9053,0,0,0,0,0,0,0,0,7,NL,43.671826,-79.388644,95,Annex ,0,11,University-Rosedale,1907
112,YW,1,York Woods,"1785 Finch Avenue West, Toronto, ON, M3N 1M6",M3N 1M6,https://www.tpl.ca/yorkwoods,416-395-5980,42176,89,0,0,1,0,0,1,1,46,DL,43.758893,-79.507267,25,Glenfield-Jane Heights ,1,7,Humber River-Black Creek,1970
